trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.6, 'e': 0.5347264346319975}",20,14,-33.470377437228024,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
315,False,"{'a': 0.6, 'e': 0.5336580505029906}",25,0,-143.80272661210472,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
316,False,"{'a': 0.6, 'e': 0.5325918010068972}",25,19,-10.306269887888673,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
317,False,"{'a': 0.6, 'e': 0.5315276818787179}",20,0,-65.67771938347488,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
318,False,"{'a': 0.6, 'e': 0.5304656888619749}",25,0,-87.75336583784889,"{0: 19, 1: 2, 2: 0, 3: 3, 4: 1}",0
319,False,"{'a': 0.6, 'e': 0.5294058177086945}",20,4,-18.86070264093617,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
320,False,"{'a': 0.6, 'e': 0.528348064179391}",20,13,0.30871883643679054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.6, 'e': 0.5272924240430485}",20,5,-44.90371289734872,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
322,False,"{'a': 0.6, 'e': 0.5262388930771054}",25,9,-58.20182366540762,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
323,False,"{'a': 0.6, 'e': 0.5251874670674361}",25,0,-46.50415206635925,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
324,False,"{'a': 0.6, 'e': 0.5241381418083354}",20,0,-75.84879430413415,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
325,False,"{'a': 0.6, 'e': 0.5230909131025008}",25,0,-104.215285777211,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
326,False,"{'a': 0.6, 'e': 0.522045776761016}",20,0,-49.326153099962305,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
327,False,"{'a': 0.6, 'e': 0.5210027286033344}",20,0,-15.883253493554397,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
328,False,"{'a': 0.6, 'e': 0.5199617644572618}",25,13,-19.794228682563784,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
329,False,"{'a': 0.6, 'e': 0.5189228801589404}",30,3,-105.16960053450258,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 2}",1
330,False,"{'a': 0.6, 'e': 0.5178860715528314}",30,3,-122.59851661660375,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 3}",1
331,False,"{'a': 0.6, 'e': 0.5168513344916992}",20,0,-64.04367031652187,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
332,False,"{'a': 0.6, 'e': 0.5158186648365941}",20,0,-92.34808057887528,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
333,False,"{'a': 0.6, 'e': 0.5147880584568362}",20,7,6.9557864007378125,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.6, 'e': 0.5137595112299983}",25,0,-57.88727571217815,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
335,False,"{'a': 0.6, 'e': 0.5127330190418905}",35,0,-20.793365029371248,"{0: 28, 1: 1, 2: 6, 3: 0, 4: 0}",0
336,False,"{'a': 0.6, 'e': 0.5117085777865424}",20,14,-1.3480000111734214,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.6, 'e': 0.5106861833661879}",30,0,-25.056213058197084,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
338,False,"{'a': 0.6, 'e': 0.5096658316912476}",20,0,-10.16827102660927,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
339,False,"{'a': 0.6, 'e': 0.5086475186803137}",25,0,-60.69942583794997,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
340,False,"{'a': 0.6, 'e': 0.5076312402601327}",20,0,-3.005231870275028,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
341,False,"{'a': 0.6, 'e': 0.5066169923655895}",30,16,-29.25322688037371,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.5056047709396915}",30,12,-3.2884472272354053,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
343,False,"{'a': 0.6, 'e': 0.5045945719335512}",20,8,-5.918461453606694,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
344,False,"{'a': 0.6, 'e': 0.5035863913063714}",20,0,-10.698802766963047,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
345,False,"{'a': 0.6, 'e': 0.5025802250254283}",25,0,-65.73911427687776,"{0: 18, 1: 3, 2: 1, 3: 3, 4: 0}",0
346,False,"{'a': 0.6, 'e': 0.5015760690660555}",25,5,-58.54048232941871,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
347,False,"{'a': 0.6, 'e': 0.5005739194116277}",20,0,-35.52762365755765,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
348,False,"{'a': 0.6, 'e': 0.4995737720535449}",20,0,-126.21070195029931,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
349,False,"{'a': 0.6, 'e': 0.4985756229912165}",25,0,-23.030573466972047,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
350,False,"{'a': 0.6, 'e': 0.4975794682320448}",30,0,-22.8675798858857,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
351,False,"{'a': 0.6, 'e': 0.49658530379140947}",30,4,-0.2703735847553965,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.6, 'e': 0.4955931256926514}",35,1,-42.485666842693746,"{0: 26, 1: 6, 2: 1, 3: 0, 4: 1}",1
353,False,"{'a': 0.6, 'e': 0.494602929967057}",25,0,-110.78027712488704,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
354,False,"{'a': 0.6, 'e': 0.4936147126538418}",20,11,-14.535353691185358,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
355,False,"{'a': 0.6, 'e': 0.49262846980013547}",30,0,-77.73893619663048,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",1
356,False,"{'a': 0.6, 'e': 0.4916441974609651}",20,15,3.2837835115525387,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.6, 'e': 0.4906618916992401}",30,12,-64.17553012962672,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
358,False,"{'a': 0.6, 'e': 0.4896815485857362}",25,0,-47.48818353576779,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
359,False,"{'a': 0.6, 'e': 0.4887031641990795}",30,15,8.80296472156514,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.6, 'e': 0.4877267346257312}",25,0,-50.66927721796227,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
361,False,"{'a': 0.6, 'e': 0.4867522559599717}",25,2,-15.038161515116334,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
